1.0000E+04	5.59E-23
1.0470E+04	3.09E-23
1.0970E+04	2.86E-23
1.1490E+04	3.41E-23
1.2030E+04	4.51E-23
1.2600E+04	6.16E-23
1.3200E+04	8.39E-23
1.3830E+04	1.11E-22
1.4480E+04	1.41E-22
1.5170E+04	1.67E-22
1.5890E+04	1.86E-22
1.6640E+04	1.94E-22
1.7430E+04	1.92E-22
1.8250E+04	1.82E-22
1.9120E+04	1.70E-22
2.0020E+04	1.55E-22
2.0970E+04	1.43E-22
2.1960E+04	1.31E-22
2.3000E+04	1.21E-22
2.4090E+04	1.14E-22
2.5240E+04	1.08E-22
2.6430E+04	1.03E-22
2.7680E+04	1.00E-22
2.8990E+04	9.85E-23
3.0370E+04	9.77E-23
3.1810E+04	9.77E-23
3.3310E+04	9.88E-23
3.4890E+04	1.01E-22
3.6540E+04	1.04E-22
3.8280E+04	1.08E-22
4.0090E+04	1.14E-22
4.1990E+04	1.21E-22
4.3980E+04	1.29E-22
4.6060E+04	1.38E-22
4.8240E+04	1.49E-22
5.0530E+04	1.62E-22
5.2920E+04	1.77E-22
5.5430E+04	1.94E-22
5.8050E+04	2.13E-22
6.0800E+04	2.35E-22
6.3680E+04	2.59E-22
6.6700E+04	2.85E-22
6.9860E+04	3.12E-22
7.3170E+04	3.37E-22
7.6630E+04	3.61E-22
8.0260E+04	3.80E-22
8.4070E+04	3.97E-22
8.8050E+04	4.10E-22
9.2220E+04	4.20E-22
9.6590E+04	4.28E-22
1.0120E+05	4.32E-22
1.0600E+05	4.32E-22
1.1100E+05	4.27E-22
1.1620E+05	4.20E-22
1.2170E+05	4.11E-22
1.2750E+05	4.03E-22
1.3350E+05	3.99E-22
1.3990E+05	3.99E-22
1.4650E+05	4.02E-22
1.5340E+05	4.08E-22
1.6070E+05	4.15E-22
1.6830E+05	4.22E-22
1.7630E+05	4.29E-22
1.8460E+05	4.35E-22
1.9340E+05	4.41E-22
2.0260E+05	4.47E-22
2.1210E+05	4.54E-22
2.2220E+05	4.60E-22
2.3270E+05	4.64E-22
2.4370E+05	4.62E-22
2.5530E+05	4.52E-22
2.6740E+05	4.33E-22
2.8000E+05	4.03E-22
2.9330E+05	3.67E-22
3.0720E+05	3.31E-22
3.2180E+05	3.00E-22
3.3700E+05	2.76E-22
3.5300E+05	2.59E-22
3.6970E+05	2.48E-22
3.8720E+05	2.41E-22
4.0560E+05	2.38E-22
4.2480E+05	2.36E-22
4.4490E+05	2.34E-22
4.6600E+05	2.33E-22
4.8800E+05	2.30E-22
5.1110E+05	2.26E-22
5.3540E+05	2.20E-22
5.6070E+05	2.10E-22
5.8730E+05	1.98E-22
6.1510E+05	1.86E-22
6.4420E+05	1.73E-22
6.7480E+05	1.64E-22
7.0670E+05	1.55E-22
7.4020E+05	1.51E-22
7.7530E+05	1.47E-22
8.1200E+05	1.46E-22
8.5040E+05	1.44E-22
8.9070E+05	1.44E-22
9.3290E+05	1.43E-22
9.7710E+05	1.41E-22
1.0000E+06	1.41E-22
1.0470E+06	1.38E-22
1.0960E+06	1.36E-22
1.1480E+06	1.33E-22
1.2020E+06	1.30E-22
1.2590E+06	1.28E-22
1.3180E+06	1.25E-22
1.3800E+06	1.23E-22
1.4450E+06	1.20E-22
1.5140E+06	1.17E-22
1.5850E+06	1.13E-22
1.6600E+06	1.09E-22
1.7380E+06	1.04E-22
1.8200E+06	9.80E-23
1.9060E+06	9.23E-23
1.9950E+06	8.64E-23
2.0890E+06	8.05E-23
2.1880E+06	7.53E-23
2.2910E+06	7.05E-23
2.3990E+06	6.61E-23
2.5120E+06	6.21E-23
2.6300E+06	5.82E-23
2.7540E+06	5.48E-23
2.8840E+06	5.15E-23
3.0200E+06	4.85E-23
3.1620E+06	4.58E-23
3.3110E+06	4.34E-23
3.4670E+06	4.13E-23
3.6310E+06	3.96E-23
3.8020E+06	3.81E-23
3.9810E+06	3.69E-23
4.1690E+06	3.58E-23
4.3650E+06	3.48E-23
4.5710E+06	3.40E-23
4.7860E+06	3.32E-23
5.0120E+06	3.26E-23
5.2480E+06	3.19E-23
5.4950E+06	3.14E-23
5.7540E+06	3.09E-23
6.0260E+06	3.06E-23
6.3100E+06	3.03E-23
6.6070E+06	3.01E-23
6.9180E+06	2.99E-23
7.2440E+06	2.99E-23
7.5860E+06	2.98E-23
7.9430E+06	2.98E-23
8.3180E+06	2.97E-23
8.7100E+06	2.96E-23
9.1200E+06	2.95E-23
9.5500E+06	2.94E-23
1.0000E+07	2.92E-23
1.0470E+07	2.89E-23
1.0960E+07	2.86E-23
1.1480E+07	2.82E-23
1.2020E+07	2.75E-23
1.2590E+07	2.69E-23
1.3180E+07	2.62E-23
1.3800E+07	2.54E-23
1.4450E+07	2.46E-23
1.5140E+07	2.37E-23
1.5850E+07	2.30E-23
1.6600E+07	2.22E-23
1.7380E+07	2.15E-23
1.8200E+07	2.09E-23
1.9060E+07	2.04E-23
1.9950E+07	2.00E-23
2.0890E+07	1.96E-23
2.1880E+07	1.93E-23
2.2910E+07	1.91E-23
2.3990E+07	1.90E-23
2.5120E+07	1.89E-23
2.6300E+07	1.89E-23
2.7540E+07	1.89E-23
2.8840E+07	1.90E-23
3.0200E+07	1.91E-23
3.1620E+07	1.92E-23
3.3110E+07	1.94E-23
3.4670E+07	1.97E-23
3.6310E+07	2.00E-23
3.8020E+07	2.03E-23
3.9810E+07	2.06E-23
4.1690E+07	2.09E-23
4.3650E+07	2.12E-23
4.5710E+07	2.16E-23
4.7860E+07	2.20E-23
5.0120E+07	2.24E-23
5.2480E+07	2.27E-23
5.4950E+07	2.31E-23
5.7540E+07	2.34E-23
6.0260E+07	2.38E-23
6.3100E+07	2.41E-23
6.6070E+07	2.44E-23
6.9180E+07	2.47E-23
7.2440E+07	2.50E-23
7.5860E+07	2.52E-23
